PRINC_DIAG_CODE,Count,ICD-9,icd9cm_mult
O665,31717.0,66951,['66071' '66951']
O702,31632.0,66424,['66421' '66424']
K7291,31484.0,5728,['5722' '5728']
O334XX0,31420.0,65343,['65341' '65343']
J918,31266.0,5119,['5119']
M869,31253.0,73098,['73020' '73030' '73090' '73098']
A09,30975.0,0090,['0090']
F339,30760.0,29630,['29630']
I70219,30641.0,44021,['44021']
J129,30547.0,4870,['4809' '4870']
T8450XA,30129.0,99666,['99666']
E8779,30021.0,27669,['27669']
I213,29997.0,41091,['41091']
I471,29409.0,4270,['4270']
E222,29391.0,2536,['2536']
O9852,29170.0,64761,['64761']
G7281,28846.0,35981,['35981']
I5031,28769.0,42831,['4280' '42831']
E1140,28659.0,3572,['25060' '3572']
K5900,28516.0,56400,['56400']
C3410,28485.0,1623,['1623']
C787,28395.0,1978,['1977' '1978']
F323,28130.0,2980,['29624' '2980']
S32009A,28107.0,8054,['8054']
K449,27986.0,5533,['5533']
J181,27962.0,481,['481']
L89159,27858.0,70720,['70703' '70720']
M8468XA,27844.0,73319,['73313' '73319']
C20,27769.0,1541,['1541']
M47812,27644.0,7210,['7210']
A879,27201.0,0479,['0479']
J069,27162.0,4659,['4658' '4659']
Z515,27035.0,V667,['V667']
G7289,27005.0,35989,['35989']
N8329,26463.0,6202,['6202']
C50919,26219.0,1749,['1749']
B9789,26044.0,07999,['07989' '07999']
G35,25989.0,340,['340']
O714,25925.0,66544,['66541' '66544']
I70269,25774.0,44024,['44024']
T8351XA,25723.0,99664,['99664']
K7290,25635.0,5728,['5728']
Z433,25594.0,V553,['V553']
O021,25590.0,632,['632']
K613,25414.0,566,['566']
S066X0A,25359.0,85201,['85201']
F3181,25145.0,29689,['29689']
T80211A,25106.0,99932,['99932']
O324XX0,24674.0,65253,['65251' '65253']
J156,24598.0,48283,['48283']
R7881,24461.0,7907,['77183' '7907']
T8579XA,24404.0,99669,['99669']
K5669,24226.0,56089,['56089']
O113,24160.0,64273,['64221' '64223' '64271' '64273']
A4150,23847.0,99591,['03840' '99591']
T84498A,23547.0,99649,['99649']
K920,23543.0,5780,['5780']
R42,23526.0,7804,['7804']
K559,23510.0,5579,['5579']
J9600,23486.0,51881,['51851' '51881']
I609,23483.0,430,['430']
O4593,23416.0,64123,['64121' '64123']
K648,23408.0,4558,['4550' '4551' '4552' '4558']
O4212,23229.0,65821,['65821']
M1610,23227.0,71515,['71515']
J111,23225.0,4871,['4871']
G20,23199.0,3320,['3320']
C187,23153.0,1533,['1533']
F3160,23110.0,29660,['29660']
M4310,23040.0,7384,['7384']
K635,22982.0,2113,['2113']
O403XX0,22967.0,65703,['65701' '65703']
T8612,22859.0,99681,['99681']
C73,22706.0,193,['193']
Z4789,22547.0,V5489,['V5489']
C786,22530.0,1976,['1976']
O328XX0,22469.0,65283,['65281' '65283']
G92,22286.0,34982,['32371' '32372' '34982']
I824Z9,22113.0,45342,['45342']
M1990,22045.0,71590,['71530' '71590']
I200,21980.0,4111,['4111']
I5030,21966.0,42830,['4280' '42830']
O364XX0,21932.0,65643,['65641' '65643']
J151,21864.0,4821,['4821']
G9340,21547.0,34830,['34830']
S32509A,21269.0,8082,['8082']
J180,21198.0,485,['485']
I25810,21127.0,41405,['41405']
C182,21088.0,1536,['1536']
K436,20976.0,55229,['55220' '55229']
O660,20915.0,66041,['66041']
T849XXA,20750.0,99678,['99677' '99678']
C569,20690.0,1830,['1830']
K31811,20688.0,53783,['53783']
T8131XA,20511.0,99832,['99832']
I739,20459.0,4439,['4439']
T8189XA,20392.0,99889,['99889']
F3163,20384.0,29663,['29663']
S270XXA,20379.0,8600,['8600']
J40,20186.0,490,['490']
R51,19950.0,7840,['7840']
I82409,19914.0,45340,['45340']
G893,19735.0,3383,['3383']
K9189,19692.0,99749,['5644' '99749']
K625,19689.0,5693,['5693']
N993,19651.0,6185,['6185']
N800,19483.0,6170,['6170']
Z432,19417.0,V552,['V552']
J449,19406.0,496,['49120' '49320' '496']
I6200,19395.0,4321,['4321']
C9000,19320.0,20300,['20300']
D279,19287.0,220,['220']
O133,19275.0,64234,['64231' '64232' '64233' '64234']
T80219A,19219.0,99931,['99931']
K2990,19209.0,53550,['53550']
C7952,19096.0,1985,['1985']
S22009A,18934.0,8052,['8052']
M5000,18934.0,72271,['72271']
A411,18767.0,99591,['03819' '99591']
J8489,18759.0,515,['515']
R1013,18669.0,78906,['78906']
S065X9A,18637.0,85226,['85226']
F331,18596.0,29632,['29632']
O30003,18562.0,V9100,['65101' '65103' 'V9100']
O001,18491.0,63310,['63310']
O2662,18309.0,64671,['64671']
S72309A,18282.0,82101,['82101']
O9912,18266.0,64931,['64931']
D693,18264.0,28731,['28731']
S2249XA,18257.0,80709,['80702' '80709']
K8062,18109.0,57460,['57460']
C549,18105.0,1820,['1820']
T847XXA,18036.0,99667,['99667']
G43909,18014.0,34690,['34690']
C7800,17890.0,1970,['1970']
G40301,17859.0,3453,['3452' '3453']
C19,17747.0,1540,['1540']
N938,17746.0,6268,['6268']
I671,17611.0,4373,['4373']
S066X9A,17582.0,85206,['85206']
K3184,17532.0,5363,['5363']
K4030,17507.0,55010,['55010']
I63239,17397.0,43311,['43311']
R197,17300.0,78791,['78791']
S82846A,17233.0,8244,['8244']
N814,16903.0,6184,['6184']
O211,16868.0,64313,['64313']
T8740,16798.0,99762,['99762']
K8050,16757.0,57450,['57450']
K5190,16757.0,5569,['5569']
A4152,16703.0,99591,['03843' '99591']
O210,16665.0,64303,['64303']
J45998,16613.0,49390,['49390']
I7025,16592.0,7079,['44023' '7079']
O99344,16552.0,64841,['64841']
N812,16538.0,61884,['6182' '61884']
K5090,16454.0,5559,['5559']
D250,16451.0,2180,['2180']
J36,16433.0,475,['475']
S82109A,16296.0,82300,['82300']
O42013,16251.0,65813,['65811' '65813']
O649XX0,16239.0,66001,['65291' '66001']
D252,16061.0,2182,['2182']
T783XXA,15956.0,9951,['9951']
E870,15930.0,2760,['2760']
C180,15798.0,1534,['1534']
J101,15780.0,48812,['4871' '48812']
K811,15583.0,57511,['57511']
K5521,15495.0,56985,['56985']
I674,15377.0,4372,['4372']
A403,15236.0,99591,['0380' '0382' '99591']
I743,15169.0,44422,['44422']
C250,15071.0,1570,['1570']
M87059,14949.0,73343,['73342' '73343']
E1310,14943.0,25010,['24910' '25010']
T424X4A,14733.0,E9802,['9694' 'E9802']
O654,14721.0,66011,['65341' '66011']
Z48812,14701.0,V5873,['V5873']
K831,14539.0,5762,['5762']
I319,14515.0,4239,['4239']
P9689,14500.0,77989,['77989']
K420,14366.0,5521,['5521']
C189,14321.0,1539,['1539']
R1030,14294.0,78909,['78909']
K5641,14285.0,56032,['56032']
C3430,14211.0,1625,['1625']
T85199A,14211.0,9962,['9962']
E869,14130.0,27650,['27650']
O411430,14112.0,65843,['65841' '65843']
O7582,14108.0,64982,['64981' '64982']
M3210,14107.0,7100,['7100']
M545,14084.0,7242,['7242']
K651,14007.0,56722,['56722']
J15211,13995.0,48241,['48241']
J4522,13824.0,49311,['49301' '49311']
K2960,13729.0,53540,['53520' '53540']
O360930,13702.0,65613,['65611' '65613']
R1031,13669.0,78903,['78903']
C259,13568.0,1579,['1579']
J050,13475.0,4644,['46401' '46421' '4644']
O4413,13448.0,64113,['64111' '64113']
O26893,13418.0,67903,['64681' '64682' '64683' '67903']
K7030,13405.0,5712,['5712']
C679,13385.0,1889,['1889']
T84029A,13353.0,99642,['99642']
I469,13320.0,4275,['4275']
I330,13301.0,4210,['4210']
R5383,13184.0,78079,['78079']
N61,13161.0,6110,['6110']
E1129,13128.0,25040,['25040']
T391X4A,13118.0,E9800,['9654' 'E9800']
D329,13094.0,2252,['2252']
J4521,13041.0,49312,['49302' '49312']
J15212,13038.0,48242,['48242']
I70229,12978.0,44022,['44022']
O329XX0,12926.0,65293,['65261' '65291' '65293']
I348,12917.0,4240,['4240']
F3110,12907.0,29640,['29640']
K5730,12879.0,56210,['56210']
T82191A,12840.0,99604,['99601' '99604']
R102,12825.0,78909,['6089' '6259' '78909']
K562,12785.0,5602,['5602']
O3433,12760.0,65454,['65451' '65452' '65453' '65454']
J869,12734.0,5110,['5109' '5110']
R1011,12600.0,78901,['78901']
F0391,12571.0,29421,['29421']
M961,12495.0,72283,['72280' '72281' '72282' '72283']
C228,12415.0,1550,['1550']
O358XX0,12413.0,67801,['65581' '65583' '67801']
P220,12413.0,769,['769']
C9100,12380.0,20400,['20400']
S82402A,12371.0,82381,['82321' '82381']
S82899A,12352.0,8248,['8248']
E8352,12339.0,27542,['27542']
I872,12326.0,45981,['45981']
K550,12282.0,5570,['5570']
C9250,12253.0,20500,['20500']
I441,12251.0,42613,['42612' '42613']
N946,12241.0,6253,['6253']
Q762,12241.0,75612,['75612']
