PRINC_DIAG_CODE,Count,ICD-9,icd9cm_mult
S82402B,5317.0,82391,['82331' '82391']
M6281,5316.0,72887,['72887']
J029,5310.0,462,['462']
O26873,5308.0,64973,['64971' '64973']
S06339A,5277.0,85186,['85186']
O9942,5263.0,67402,['67401' '67402']
Q210,5263.0,7454,['7454']
P393,5259.0,77182,['77182']
S0990XA,5255.0,95901,['8738' '8739' '95901']
K2210,5253.0,53020,['53020']
J0300,5241.0,0340,['0340']
N2889,5236.0,59389,['59382' '59389']
I9789,5224.0,9971,['9971']
K265,5210.0,53250,['53250']
J154,5206.0,48239,['48231' '48239']
C3400,5205.0,1622,['1622']
B3781,5198.0,11284,['11284']
N736,5195.0,6146,['6146']
R002,5191.0,7851,['7851']
I658,5154.0,43380,['43380']
G729,5152.0,3599,['3599']
Z48817,5146.0,V5877,['V5877']
R1084,5146.0,78907,['78907']
O99013,5142.0,64823,['64821' '64823']
F0151,5131.0,29041,['29041']
B2790,5118.0,075,['075']
Z3869,5092.0,V3701,['V3401' 'V3501' 'V3601' 'V3701']
G6181,5088.0,35781,['35781']
O709,5088.0,66444,['66441' '66444']
T18198A,5084.0,E915,['9351' 'E915']
K220,5084.0,5300,['5300']
G43809,5074.0,34680,['34620' '34680']
C9110,5071.0,20410,['20410']
I69959,5065.0,43820,['43820']
O722,5033.0,66624,['66622' '66624']
T84049A,5018.0,99644,['99644']
F201,5004.0,29510,['29510']
F0630,4981.0,29383,['29383']
M7981,4973.0,72992,['72992']
I701,4952.0,4401,['4401']
H05019,4942.0,37601,['37601']
I9589,4930.0,4588,['4581' '4588']
S066X2A,4922.0,85202,['85202']
E872,4919.0,2762,['2762']
O42113,4918.0,65823,['65821' '65823']
N321,4914.0,5961,['5961']
C3480,4903.0,1628,['1628']
E1101,4895.0,25020,['25020']
J8409,4887.0,5168,['5168']
L049,4864.0,683,['683']
K284,4860.0,53440,['53440']
M2602,4858.0,52403,['52403']
I889,4854.0,2893,['2893']
T82818A,4842.0,99674,['99673' '99674']
C183,4802.0,1530,['1530']
I2609,4794.0,41519,['4150' '41519']
C159,4781.0,1509,['1509']
F4325,4751.0,3094,['3094']
O152,4738.0,64274,['64244' '64264' '64272' '64274']
L271,4731.0,6930,['6930']
S72036A,4729.0,82002,['82002']
S8266XA,4694.0,8242,['8242']
I96,4690.0,7854,['7854']
D591,4690.0,2830,['2830']
E041,4685.0,2462,['2410' '2462']
T383X4A,4683.0,E9804,['9623' 'E9804']
H8309,4676.0,38635,['38630' '38631' '38632' '38633' '38634' '38635']
O8689,4674.0,67084,['67082' '67084']
J84112,4671.0,51631,['51631']
Z411,4668.0,V501,['V501']
C770,4664.0,1960,['1960']
H6690,4652.0,3829,['3829']
T86819,4644.0,99684,['99684']
G894,4632.0,3384,['3384']
